lane,index,frame,bin,re,im
A,317,4,61,-1,0
A,318,4,62,1,0
A,319,4,63,1,0
A,320,4,64,1,0
A,321,4,65,3,0
A,322,4,66,3,0
A,323,4,67,1,0
A,324,4,68,1,0
A,325,4,69,1,0
A,326,4,70,2,0
A,327,4,71,0,0
A,328,4,72,1,0
A,329,4,73,4,0
A,330,4,74,3,0
A,331,4,75,2,0
A,332,4,76,2,0
A,333,4,77,3,0
A,334,4,78,4,0
A,335,4,79,0,0
A,336,4,80,1,0
A,337,4,81,2,0
A,338,4,82,3,0
A,339,4,83,0,0
A,340,4,84,2,0
A,341,4,85,1,0
A,342,4,86,2,0
A,343,4,87,0,0
A,344,4,88,1,0
A,345,4,89,1,0
A,346,4,90,3,0
A,347,4,91,0,0
A,348,4,92,3,0
A,349,4,93,2,0
A,350,4,94,2,0
A,351,4,95,1,0
A,352,4,96,2,0
A,353,4,97,0,0
A,354,4,98,3,0
A,355,4,99,-1,0
A,356,4,100,3,0
A,357,4,101,0,0
A,358,4,102,2,0
A,359,4,103,1,0
A,360,4,104,2,0
A,361,4,105,1,0
A,362,4,106,4,0
A,363,4,107,-1,0
A,364,4,108,2,0
A,365,4,109,0,0
A,366,4,110,2,0
A,367,4,111,0,0
A,368,4,112,1,0
A,369,4,113,0,0
A,370,4,114,2,0
A,371,4,115,-1,0
A,372,4,116,1,0
A,373,4,117,-2,0
A,374,4,118,-1,0
A,375,4,119,1,0
A,376,4,120,1,0
A,377,4,121,-1,0
A,378,4,122,1,0
A,379,4,123,0,0
A,380,4,124,2,0
A,381,4,125,-1,0
A,382,4,126,0,0
A,383,4,127,1,0
A,384,6,0,0,0
A,385,6,1,-1,0
A,386,6,2,-2,0
A,387,6,3,1,0
A,388,6,4,-3,0
A,389,6,5,1,0
A,390,6,6,-2,0
A,391,6,7,1,0
A,392,6,8,-1,0
A,393,6,9,2,0
A,394,6,10,-2,0
A,395,6,11,2,0
A,396,6,12,-2,0
A,397,6,13,2,0
A,398,6,14,-1,0
A,399,6,15,1,0
A,400,6,16,-1,0
A,401,6,17,-2,0
A,402,6,18,-3,0
A,403,6,19,-1,0
A,404,6,20,-3,0
A,405,6,21,-1,0
A,406,6,22,-4,0
A,407,6,23,1,0
A,408,6,24,-2,0
A,409,6,25,-1,0
A,410,6,26,-1,0
A,411,6,27,0,0
A,412,6,28,-1,0
A,413,6,29,1,0
A,414,6,30,-1,0
A,415,6,31,0,0
A,416,6,32,-1,0
A,417,6,33,-3,0
A,418,6,34,0,0
A,419,6,35,-4,0
A,420,6,36,-1,0
A,421,6,37,-4,0
A,422,6,38,-3,0
A,423,6,39,-2,0
A,424,6,40,1,0
A,425,6,41,-2,0
A,426,6,42,1,0
A,427,6,43,-1,0
A,428,6,44,0,0
A,429,6,45,-3,0
A,430,6,46,-1,0
A,431,6,47,0,0
A,432,6,48,-2,0
A,433,6,49,-4,0
A,434,6,50,-2,0
A,435,6,51,-4,0
A,436,6,52,-1,0
A,437,6,53,-3,0
A,438,6,54,-2,0
A,439,6,55,-1,0
A,440,6,56,-1,0
A,441,6,57,-3,0
A,442,6,58,-2,0
A,443,6,59,-2,0
A,444,6,60,-2,0
A,445,6,61,-3,0
A,446,6,62,-3,0
A,447,6,63,-1,0
A,448,6,64,2,0
A,449,6,65,-2,0
A,450,6,66,-3,0
A,451,6,67,2,0
A,452,6,68,-1,0
A,453,6,69,0,0
A,454,6,70,-2,0
A,455,6,71,3,0
A,456,6,72,0,0
A,457,6,73,0,0
A,458,6,74,-4,0
A,459,6,75,3,0
A,460,6,76,-2,0
A,461,6,77,2,0
A,462,6,78,-2,0
A,463,6,79,2,0
A,464,6,80,1,0
A,465,6,81,1,0
A,466,6,82,-1,0
A,467,6,83,3,0
A,468,6,84,-1,0
A,469,6,85,3,0
A,470,6,86,-2,0
A,471,6,87,2,0
A,472,6,88,0,0
A,473,6,89,1,0
A,474,6,90,-1,0
A,475,6,91,3,0
A,476,6,92,-1,0
A,477,6,93,3,0
A,478,6,94,0,0
A,479,6,95,2,0
A,480,6,96,0,0
A,481,6,97,0,0
A,482,6,98,-1,0
A,483,6,99,1,0
A,484,6,100,-1,0
A,485,6,101,1,0
A,486,6,102,1,0
A,487,6,103,1,0
A,488,6,104,-1,0
A,489,6,105,0,0
A,490,6,106,-2,0
A,491,6,107,0,0
A,492,6,108,-3,0
A,493,6,109,-1,0
A,494,6,110,-2,0
A,495,6,111,1,0
A,496,6,112,0,0
A,497,6,113,0,0
A,498,6,114,1,0
A,499,6,115,-1,0
A,500,6,116,-1,0
A,501,6,117,0,0
A,502,6,118,0,0
A,503,6,119,1,0
A,504,6,120,-1,0
