sample,re,im,,,,,
969,-262,0,,,,,
970,-220,0,,,,,
971,-223,0,,,,,
972,-255,0,,,,,
973,-217,0,,,,,
974,-196,0,,,,,
975,-84,0,,,,,
976,-88,0,,,,,
977,-77,0,,,,,
978,-138,0,,,,,
979,-44,0,,,,,
980,185,0,,,,,
981,338,0,,,,,
982,542,0,,,,,
983,663,0,,,,,
984,642,0,,,,,
985,725,0,,,,,
986,701,0,,,,,
987,595,0,,,,,
988,552,0,,,,,
989,596,0,,,,,
990,647,0,,,,,
991,629,0,,,,,
992,622,0,,,,,
993,761,0,,,,,
994,948,0,,,,,
995,939,0,,,,,
996,945,0,,,,,
997,914,0,,,,,
998,872,0,,,,,
999,963,0,,,,,
1000,974,0,,,,,
1001,862,0,,,,,
1002,846,0,,,,,
1003,793,0,,,,,
1004,769,0,,,,,
1005,680,0,,,,,
1006,547,0,,,,,
1007,574,0,,,,,
1008,465,0,,,,,
1009,348,0,,,,,
1010,280,0,,,,,
1011,335,0,,,,,
1012,411,0,,,,,
1013,353,0,,,,,
1014,431,0,,,,,
1015,481,0,,,,,
1016,500,0,,,,,
1017,578,0,,,,,
1018,585,0,,,,,
1019,524,0,,,,,
1020,447,0,,,,,
1021,405,0,,,,,
1022,431,0,,,,,
1023,447,0,,,,,
1024,441,0,,,,,
1025,366,0,,,,,
1026,288,0,,,,,
1027,250,0,,,,,
1028,275,0,,,,,
1029,265,0,,,,,
1030,104,0,,,,,
1031,56,0,,,,,
1032,160,0,,,,,
1033,123,0,,,,,
1034,-8,0,,,,,
1035,-122,0,,,,,
1036,-150,0,,,,,
1037,-109,0,,,,,
1038,-154,0,,,,,
1039,-124,0,,,,,
1040,-116,0,,,,,
1041,-195,0,,,,,
1042,-186,0,,,,,
1043,-146,0,,,,,
1044,-91,0,,,,,
1045,0,0,,,,,
1046,145,0,,,,,
1047,219,0,,,,,
1048,276,0,,,,,
1049,330,0,,,,,
1050,286,0,,,,,
1051,239,0,,,,,
1052,216,0,,,,,
1053,309,0,,,,,
1054,266,0,,,,,
1055,146,0,,,,,
1056,295,0,,,,,
1057,538,0,,,,,
1058,575,0,,,,,
1059,512,0,,,,,
1060,488,0,,,,,
1061,485,0,,,,,
1062,459,0,,,,,
1063,360,0,,,,,
1064,266,0,,,,,
1065,127,0,,,,,
1066,61,0,,,,,
1067,38,0,,,,,
1068,41,0,,,,,
1069,134,0,,,,,
1070,95,0,,,,,
1071,39,0,,,,,
1072,-20,0,,,,,
1073,-76,0,,,,,
1074,-40,0,,,,,
